,alpha,spectral_norm,D,longname,norm,alphahat
0,2.8516111373901367,0.2845214605331421,0.1736137568950653,layers.0.dec_attn.qkv_net,12.179105758666992,-1.5566516619137603
1,3.485497236251831,0.8967379331588745,0.16037344932556152,layers.0.dec_attn.o_net,104.52826690673828,-0.1649841247751487
2,4.2998247146606445,0.19519245624542236,0.18175965547561646,layers.0.dec_attn.r_net,4.094838619232178,-3.050884603275332
3,4.5356903076171875,1.5080441236495972,0.144362211227417,layers.0.pos_ff.CoreNet.0,214.53929138183594,0.8092308713426111
4,4.58595085144043,1.5174920558929443,0.14723002910614014,layers.0.pos_ff.CoreNet.3,215.43472290039062,0.8306368885020255
5,2.772793769836426,0.2809580862522125,0.17858904600143433,layers.1.dec_attn.qkv_net,12.065204620361328,-1.5288033138246746
6,3.5134642124176025,0.8988259434700012,0.1602553129196167,layers.1.dec_attn.o_net,105.29993438720703,-0.16275912406687235
7,4.501460075378418,0.19179502129554749,0.1530570387840271,layers.1.dec_attn.r_net,4.102179527282715,-3.228279129425932
8,4.606354236602783,1.5072379112243652,0.14696204662322998,layers.1.pos_ff.CoreNet.0,214.82635498046875,0.8207685321544551
9,4.541690349578857,1.5080115795135498,0.15471488237380981,layers.1.pos_ff.CoreNet.3,214.87538146972656,0.8102587968883938
10,2.814424991607666,0.2850561738014221,0.19044902920722961,layers.2.dec_attn.qkv_net,12.3090181350708,-1.534057359531927
11,3.4882612228393555,0.9152742624282837,0.1619659662246704,layers.2.dec_attn.o_net,104.64891815185547,-0.1341192831867898
12,3.9700546264648438,0.19034849107265472,0.18529170751571655,layers.2.dec_attn.r_net,4.065346717834473,-2.860228085091655
13,4.492469787597656,1.521392583847046,0.15239322185516357,layers.2.pos_ff.CoreNet.0,215.74571228027344,0.8187135114811412
14,4.591802597045898,1.50981605052948,0.1462222933769226,layers.2.pos_ff.CoreNet.3,215.34451293945312,0.8215838621381266
15,8.61697006225586,5.369627952575684,0.14914214611053467,crit.out_layers.0,1023.34423828125,6.2899072807529794
